NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
644,18.62,SWITCHON
3238,18.62,STAYON
5238,18.62,STAYON
7238,18.62,STAYON
9238,18.62,STAYON
11238,18.62,STAYON
13238,18.62,STAYON
15238,18.62,STAYON
17239,18.62,STAYON
19238,18.62,STAYON
21238,18.62,STAYON
23238,18.62,STAYON
25238,18.62,STAYON
27238,18.62,STAYON
29239,18.62,STAYON
31239,18.62,STAYON
33239,18.62,STAYON
35238,18.62,STAYON
37238,18.62,STAYON
39238,18.62,STAYON
41239,18.69,STAYON
43239,18.69,STAYON
45239,18.69,STAYON
47239,18.69,STAYON
49239,18.75,STAYON
51238,18.75,STAYON
53239,18.75,STAYON
55239,18.75,STAYON
57239,18.81,STAYON
59239,18.81,STAYON
61239,18.87,STAYON
63239,18.94,STAYON
65240,18.94,STAYON
67238,19.00,STAYON
69238,19.06,STAYON
71238,19.12,STAYON
73239,19.19,STAYON
75239,19.31,STAYON
77239,19.37,STAYON
79239,19.44,STAYON
81239,19.50,STAYON
83239,19.56,STAYON
85238,19.69,STAYON
87238,19.75,STAYON
89239,19.87,STAYON
91238,20.00,STAYON
93238,20.06,STAYON
95239,20.19,STAYON
97239,20.31,STAYON
99238,20.44,STAYON
101239,20.56,STAYON
103238,20.69,STAYON
105239,20.81,STAYON
107239,21.00,STAYON
109239,21.12,STAYON
111240,21.25,STAYON
113239,21.44,STAYON
115239,21.62,STAYON
117238,21.75,STAYON
119239,21.94,STAYON
121239,22.12,STAYON
123238,22.31,STAYON
125239,22.50,STAYON
127238,22.69,STAYON
129239,22.87,STAYON
131239,23.12,STAYON
133238,23.31,STAYON
135239,23.56,STAYON
137240,23.75,STAYON
139240,23.94,STAYON
141239,24.06,STAYON
143240,24.25,STAYON
145241,24.37,STAYON
147240,24.56,STAYON
149240,24.69,STAYON
151240,24.87,STAYON
153240,25.06,STAYON
155241,25.25,STAYON
157241,25.44,STAYON
159241,25.62,STAYON
161241,25.87,STAYON
163240,26.12,STAYON
165240,26.37,STAYON
167240,26.62,STAYON
169240,26.87,STAYON
171241,27.12,STAYON
173242,27.37,STAYON
175242,27.62,STAYON
177242,27.81,STAYON
179241,28.00,STAYON
181241,28.19,STAYON
183242,28.44,STAYON
185242,28.69,STAYON
187243,28.94,STAYON
189244,29.19,STAYON
191243,29.50,STAYON
193244,29.69,STAYON
195244,29.94,STAYON
197243,30.12,STAYON
199244,30.25,STAYON
201243,30.44,STAYON
203244,30.62,STAYON
205243,30.81,STAYON
207244,31.06,STAYON
209245,31.31,STAYON
211244,31.56,STAYON
213244,31.81,STAYON
215244,32.06,STAYON
217243,32.31,STAYON
219244,32.56,STAYON
221244,32.75,STAYON
223244,33.00,STAYON
225243,33.25,STAYON
227244,33.50,STAYON
229244,33.75,STAYON
231244,34.00,STAYON
233244,34.25,STAYON
235244,34.50,STAYON
237244,34.75,STAYON
239244,35.00,STAYON
241244,35.25,STAYON
243244,35.44,STAYON
245243,35.69,STAYON
247243,35.94,STAYON
249243,36.13,STAYON
251244,36.38,STAYON
253244,36.69,STAYON
255244,36.94,STAYON
257245,37.25,STAYON
259245,37.56,STAYON
261244,37.81,STAYON
263245,38.06,STAYON
265244,38.31,STAYON
267245,38.56,STAYON
269245,38.75,STAYON
271245,38.94,STAYON
273246,39.13,STAYON
275247,39.38,STAYON
277246,39.63,STAYON
279247,39.88,STAYON
281246,40.19,STAYON
283247,40.44,STAYON
285247,40.75,STAYON
287246,41.00,STAYON
289247,41.25,STAYON
291248,41.50,STAYON
293248,41.75,STAYON
295247,42.00,STAYON
297247,42.31,STAYON
299246,42.56,STAYON
301247,42.75,STAYON
303248,43.00,STAYON
305248,43.19,STAYON
307248,43.44,STAYON
309248,43.69,STAYON
311247,44.00,STAYON
313248,44.19,STAYON
315249,44.38,STAYON
317249,44.56,STAYON
319249,44.75,STAYON
321249,45.00,STAYON
323249,45.31,STAYON
325250,45.56,STAYON
327249,45.94,STAYON
329249,46.25,SWITCHOFF
331250,46.56,SWITCHON
333249,46.88,SWITCHOFF
335249,47.19,SWITCHON
337250,47.44,SWITCHOFF
339250,47.75,SWITCHON
341251,47.94,SWITCHOFF
343251,48.19,STAYOFF
345250,48.44,STAYOFF
347251,48.69,STAYOFF
349250,48.88,STAYOFF
351251,49.13,STAYOFF
353252,49.31,STAYOFF
355252,49.50,STAYOFF
357251,49.75,STAYOFF
359251,49.94,STAYOFF
361251,50.19,STAYOFF
363251,50.38,STAYOFF
365251,50.56,STAYOFF
367250,50.75,STAYOFF
369251,50.94,STAYOFF
371252,51.13,STAYOFF
373252,51.44,STAYOFF
375251,51.69,STAYOFF
377251,51.94,STAYOFF
379251,52.25,STAYOFF

Terminating...
Thanks for using picocom
