picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 9600
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
457236,49.44,STAYOFF
459236,49.38,STAYOFF
461237,49.38,STAYOFF
463236,49.31,STAYOFF
465235,49.31,STAYOFF
467236,49.31,STAYOFF
469236,49.31,STAYOFF
471237,49.25,STAYOFF
473235,49.25,STAYOFF
475236,49.19,STAYOFF
477235,49.19,STAYOFF
479235,49.13,STAYOFF
481235,49.13,STAYOFF
483235,49.13,STAYOFF
485236,49.13,STAYOFF
487235,49.13,STAYOFF
489235,49.13,STAYOFF
491236,49.13,STAYOFF
493236,49.06,STAYOFF
495237,49.06,STAYOFF
497235,49.06,STAYOFF
499235,49.06,STAYOFF
501236,49.06,STAYOFF
503236,49.06,STAYOFF
505237,49.06,STAYOFF
507236,49.06,STAYOFF
509236,49.00,STAYOFF
511237,49.00,STAYOFF
513236,48.94,STAYOFF
515237,48.94,STAYOFF
517237,48.88,STAYOFF
519237,48.81,STAYOFF
521237,48.81,STAYOFF
523236,48.75,STAYOFF
525236,48.75,STAYOFF
527237,48.75,STAYOFF
529235,48.69,STAYOFF
531235,48.69,STAYOFF
533236,48.63,STAYOFF
535235,48.63,STAYOFF
537235,48.63,STAYOFF
539236,48.63,STAYOFF
541236,48.63,STAYOFF
543236,48.63,STAYOFF
545236,48.63,STAYOFF
547236,48.56,STAYOFF
549236,48.63,STAYOFF
551237,48.56,STAYOFF
553236,48.56,STAYOFF
555237,48.56,STAYOFF
557237,48.56,STAYOFF
559237,48.50,STAYOFF
561238,48.50,STAYOFF
563237,48.50,STAYOFF
565237,48.50,STAYOFF
567238,48.50,STAYOFF
569236,48.50,STAYOFF
571236,48.44,STAYOFF
573237,48.44,STAYOFF
575236,48.44,STAYOFF
577235,48.44,STAYOFF
579236,48.44,STAYOFF
581235,48.44,STAYOFF
583235,48.44,STAYOFF
585236,48.44,STAYOFF
587236,48.44,STAYOFF
589236,48.44,STAYOFF
591237,48.44,STAYOFF
593236,48.44,STAYOFF
595236,48.44,STAYOFF
597237,48.44,STAYOFF
599237,48.38,STAYOFF
601236,48.38,STAYOFF
603237,48.38,STAYOFF
605237,48.38,STAYOFF
607237,48.31,STAYOFF
609238,48.31,STAYOFF
611236,48.25,STAYOFF
613236,48.25,STAYOFF
615236,48.25,STAYOFF
617237,48.25,STAYOFF
619237,48.25,STAYOFF
621237,48.19,STAYOFF
623238,48.19,STAYOFF
625236,48.19,STAYOFF
627236,48.19,STAYOFF
629236,48.19,STAYOFF
631237,48.19,STAYOFF
633236,48.19,STAYOFF
635236,48.19,STAYOFF
637237,48.13,STAYOFF
639236,48.13,STAYOFF
641235,48.13,STAYOFF
643235,48.13,STAYOFF
645236,48.13,STAYOFF
647236,48.06,STAYOFF
649236,48.06,STAYOFF
651237,48.06,STAYOFF
653237,48.06,STAYOFF
655237,48.00,STAYOFF
657236,48.00,STAYOFF
659237,48.00,STAYOFF
661236,48.00,STAYOFF
663236,48.00,STAYOFF
665236,48.00,STAYOFF
667237,48.00,STAYOFF
669237,48.00,STAYOFF
671237,47.94,STAYOFF
673238,47.94,STAYOFF
675236,47.94,STAYOFF
677236,47.94,STAYOFF
679236,47.94,STAYOFF
681237,47.94,STAYOFF
683237,47.94,STAYOFF
685237,47.88,STAYOFF
687237,47.88,STAYOFF
689238,47.88,STAYOFF
691237,47.88,STAYOFF
693237,47.88,STAYOFF
695238,47.88,STAYOFF
697236,47.88,STAYOFF
699236,47.88,STAYOFF
701236,47.81,STAYOFF
703237,47.81,STAYOFF
705236,47.81,STAYOFF
707236,47.81,STAYOFF
709237,47.81,STAYOFF
711237,47.81,STAYOFF
713236,47.75,STAYOFF
715236,47.75,STAYOFF
717236,47.75,STAYOFF
719237,47.75,STAYOFF
721236,47.75,STAYOFF
723236,47.75,STAYOFF
725236,47.75,STAYOFF
727237,47.75,STAYOFF
729235,47.75,STAYOFF
731235,47.75,STAYOFF
733235,47.69,STAYOFF
735235,47.69,STAYOFF
737235,47.69,STAYOFF
739235,47.69,STAYOFF
741235,47.69,STAYOFF
743235,47.69,STAYOFF
745236,47.69,STAYOFF
747236,47.63,STAYOFF
749236,47.63,STAYOFF
751236,47.63,STAYOFF
753235,47.63,STAYOFF
755236,47.63,STAYOFF
757235,47.63,STAYOFF
759235,47.63,STAYOFF
761235,47.63,STAYOFF
763235,47.56,STAYOFF
765236,47.56,STAYOFF
