NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
644,53.31,STAYOFF
3241,53.31,STAYOFF
5241,53.25,STAYOFF
7241,53.25,STAYOFF
9241,53.25,STAYOFF
11241,53.25,STAYOFF
13241,53.25,STAYOFF
15241,53.25,STAYOFF
17241,53.25,STAYOFF
19240,53.25,STAYOFF
21240,53.25,STAYOFF
23240,53.25,STAYOFF
25240,53.19,STAYOFF
27240,53.19,STAYOFF
29240,53.19,STAYOFF
31240,53.19,STAYOFF
33240,53.19,STAYOFF
35239,53.19,STAYOFF
37239,53.19,STAYOFF
39239,53.19,STAYOFF
41238,53.19,STAYOFF
43238,53.19,STAYOFF
45238,53.13,STAYOFF
47238,53.13,STAYOFF
49238,53.13,STAYOFF
51237,53.13,STAYOFF
53237,53.13,STAYOFF
55237,53.19,STAYOFF
57236,53.25,STAYOFF
59236,53.25,STAYOFF
61236,53.25,STAYOFF
63236,53.25,STAYOFF
65235,53.19,STAYOFF
67235,53.19,STAYOFF
69235,53.19,STAYOFF
71235,53.19,STAYOFF
73235,53.13,STAYOFF
75235,53.13,STAYOFF
77235,53.13,STAYOFF
79235,53.13,STAYOFF
81234,53.06,STAYOFF
83234,53.06,STAYOFF
85234,53.00,STAYOFF
87235,53.00,STAYOFF
89236,52.94,STAYOFF
91236,52.88,STAYOFF
93236,52.88,STAYOFF
95236,52.81,STAYOFF
97235,52.75,STAYOFF
99235,52.75,STAYOFF
101235,52.69,STAYOFF
103235,52.69,STAYOFF
105235,52.63,STAYOFF
107235,52.63,STAYOFF
109235,52.63,STAYOFF
111235,52.56,STAYOFF
113234,52.56,STAYOFF
