NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
INFO: Set bounds to: 49.00,49.10
231065,52.25,80.00,90.00,STAYON
233065,52.31,80.00,90.00,STAYON
235065,52.44,80.00,90.00,STAYON
237065,52.56,80.00,90.00,STAYON
239065,52.63,80.00,90.00,STAYON
241065,52.69,80.00,90.00,STAYON
243065,52.81,80.00,90.00,STAYON
245065,52.88,80.00,90.00,STAYON
247065,53.00,80.00,90.00,STAYON
249065,53.06,80.00,90.00,STAYON
251065,53.19,80.00,90.00,STAYON
253065,53.25,80.00,90.00,STAYON
255065,53.38,80.00,90.00,STAYON
257064,53.50,80.00,90.00,STAYON
259064,53.63,80.00,90.00,STAYON
261064,53.69,80.00,90.00,STAYON
263065,53.81,80.00,90.00,STAYON
265066,53.88,80.00,90.00,STAYON
267067,54.00,80.00,90.00,STAYON
269068,54.13,80.00,90.00,STAYON
271069,54.25,80.00,90.00,STAYON
273069,54.38,80.00,90.00,STAYON
275068,54.50,80.00,90.00,STAYON
277068,54.63,80.00,90.00,STAYON
279068,54.75,80.00,90.00,STAYON
281067,54.88,80.00,90.00,STAYON
283067,55.06,80.00,90.00,STAYON
285067,55.19,80.00,90.00,STAYON
287068,55.38,80.00,90.00,STAYON
289069,55.56,80.00,90.00,STAYON
291068,55.75,80.00,90.00,STAYON
293068,55.94,80.00,90.00,STAYON
295069,56.06,80.00,90.00,STAYON
297068,56.19,80.00,90.00,STAYON
299068,56.31,80.00,90.00,STAYON
301068,56.44,80.00,90.00,STAYON
303069,56.56,80.00,90.00,STAYON
305068,56.75,80.00,90.00,STAYON
307067,57.00,80.00,90.00,STAYON
309068,57.19,80.00,90.00,STAYON
311067,57.38,80.00,90.00,STAYON
313067,57.50,80.00,90.00,STAYON
315067,57.63,80.00,90.00,STAYON
317067,57.75,80.00,90.00,STAYON
319068,57.88,80.00,90.00,STAYON
321068,58.00,80.00,90.00,STAYON
323068,58.06,80.00,90.00,STAYON
325067,58.13,80.00,90.00,STAYON
327068,58.19,80.00,90.00,STAYON
329066,58.25,80.00,90.00,STAYON
331067,58.38,80.00,90.00,STAYON
333066,58.56,80.00,90.00,STAYON
335067,58.75,80.00,90.00,STAYON
337068,58.94,80.00,90.00,STAYON
339067,59.06,80.00,90.00,STAYON
341068,59.25,80.00,90.00,STAYON
343067,59.38,80.00,90.00,STAYON
345067,59.56,80.00,90.00,STAYON
347068,59.69,80.00,90.00,STAYON
