NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
644,50.19,STAYOFF
3241,50.19,STAYOFF
5240,50.19,STAYOFF
7241,50.19,STAYOFF
9241,50.19,STAYOFF
11241,50.19,STAYOFF
13242,50.13,STAYOFF
15241,50.19,STAYOFF
17242,50.13,STAYOFF
19240,50.13,STAYOFF
21241,50.13,STAYOFF
23240,50.13,STAYOFF
25241,50.13,STAYOFF
27242,50.13,STAYOFF
29241,50.13,STAYOFF
31242,50.13,STAYOFF
33241,50.13,STAYOFF
35241,50.13,STAYOFF
37241,50.13,STAYOFF
39241,50.13,STAYOFF
41242,50.13,STAYOFF
43241,50.13,STAYOFF
45242,50.13,STAYOFF
47241,50.13,STAYOFF
49242,50.06,STAYOFF
51243,50.13,STAYOFF
53242,50.06,STAYOFF
55243,50.06,STAYOFF
57242,50.06,STAYOFF
59243,50.06,STAYOFF
61242,50.06,STAYOFF
63243,50.06,STAYOFF
65243,50.06,STAYOFF
67243,50.06,STAYOFF
69243,50.06,STAYOFF
71242,50.06,STAYOFF
73243,50.06,STAYOFF
75241,50.06,STAYOFF
77242,50.06,STAYOFF
79243,50.06,STAYOFF
81243,50.00,STAYOFF
83244,50.00,STAYOFF
85242,50.00,STAYOFF
87243,50.00,STAYOFF
89242,50.00,STAYOFF
91243,50.00,STAYOFF
93243,50.00,STAYOFF
95243,50.00,STAYOFF
97244,50.00,STAYOFF
99243,50.00,STAYOFF
101243,50.00,STAYOFF
103242,50.00,STAYOFF
105243,50.00,STAYOFF
107243,49.94,STAYOFF
109242,49.94,STAYOFF
111243,49.94,STAYOFF
113243,49.94,STAYOFF
