NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
417242,60.31,STAYOFF
419241,60.31,STAYOFF
421241,60.31,STAYOFF
423241,60.31,STAYOFF
425241,60.31,STAYOFF
427240,60.31,STAYOFF
429241,60.25,STAYOFF
431242,60.25,STAYOFF
433243,60.25,STAYOFF
435243,60.25,STAYOFF
437242,60.25,STAYOFF
439242,60.25,STAYOFF
441242,60.25,STAYOFF
443242,60.25,STAYOFF
445242,60.25,STAYOFF
447241,60.19,STAYOFF
449242,60.19,STAYOFF
451243,60.19,STAYOFF
453243,60.19,STAYOFF
455243,60.19,STAYOFF
457243,60.19,STAYOFF
459242,60.19,STAYOFF
461242,60.19,STAYOFF
463242,60.19,STAYOFF
465242,60.19,STAYOFF
467243,60.13,STAYOFF
469243,60.13,STAYOFF
471243,60.13,STAYOFF
473243,60.13,STAYOFF
475242,60.13,STAYOFF
477242,60.13,STAYOFF
479242,60.13,STAYOFF
481243,60.13,STAYOFF
483244,60.13,STAYOFF
485243,60.13,STAYOFF
487243,60.06,STAYOFF
489243,60.06,STAYOFF
491241,60.06,STAYOFF
493242,60.06,STAYOFF
495243,60.06,STAYOFF
497243,60.06,STAYOFF
499243,60.06,STAYOFF
501242,60.06,STAYOFF
503242,60.06,STAYOFF
505241,60.06,STAYOFF
507242,60.00,STAYOFF
509243,60.00,STAYOFF
511243,60.00,STAYOFF
513243,60.00,STAYOFF
515243,60.00,STAYOFF
517241,60.00,STAYOFF
519242,60.00,STAYOFF
521243,60.00,STAYOFF
523242,60.00,STAYOFF
525242,60.00,STAYOFF
527242,60.00,STAYOFF
529242,60.00,STAYOFF
531240,60.00,STAYOFF
533241,59.94,STAYOFF
535242,59.94,STAYOFF
537242,59.94,STAYOFF
539242,59.94,STAYOFF
541242,59.94,STAYOFF
